,Path,Content
0,/home/devanshb_it_17/Downloads/trainval/s6rJLXq1Re0/50002.txt,IT'S OUR FREE WILL IT'S HOW I LOOK
1,/home/devanshb_it_17/Downloads/trainval/s6rJLXq1Re0/50001.txt,AND EVERYONE DOES
2,/home/devanshb_it_17/Downloads/trainval/xtRIvS65M4k/50002.txt,I HAD 5000 FOLLOWERS ON POLYVORE AND 9000 COMBINED FOLLOWERS ON TUMBLR
3,/home/devanshb_it_17/Downloads/trainval/xtRIvS65M4k/50003.txt,SO WHAT DO I DO ON YOUTUBE
4,/home/devanshb_it_17/Downloads/trainval/xtRIvS65M4k/50001.txt,I WAS AND STILL AM TERRIFIED OF PUBLIC SPEAKING
5,/home/devanshb_it_17/Downloads/trainval/ynSrWmoq7Is/50002.txt,SO IN THAT MOMENT I STOOD THERE AND ALTHOUGH I WAS AFRAID I REALIZED THAT
6,/home/devanshb_it_17/Downloads/trainval/ynSrWmoq7Is/50006.txt,THEN I SOUGHT THE DICTIONARY
7,/home/devanshb_it_17/Downloads/trainval/ynSrWmoq7Is/50005.txt,I JUST KEPT TALKING
8,/home/devanshb_it_17/Downloads/trainval/ynSrWmoq7Is/50003.txt,OFTENTIMES WE CHOOSE ONE EMOTION
9,/home/devanshb_it_17/Downloads/trainval/ynSrWmoq7Is/50001.txt,MY MOTHER IS SCHIZOPHRENIC
10,/home/devanshb_it_17/Downloads/trainval/ynSrWmoq7Is/50007.txt,SO I NEEDED TO START CONSULTING IN MYSELF AND TRUSTING MYSELF MORE
11,/home/devanshb_it_17/Downloads/trainval/ynSrWmoq7Is/50004.txt,BUT AT THAT MOMENT I ACKNOWLEDGED DIFFERENT EMOTIONS
12,/home/devanshb_it_17/Downloads/trainval/o8NPllzkFhE/50002.txt,THIS COULD ACTUALLY IMPROVE THIS
13,/home/devanshb_it_17/Downloads/trainval/o8NPllzkFhE/50005.txt,YOU'RE A VISIONARY RIGHT
14,/home/devanshb_it_17/Downloads/trainval/o8NPllzkFhE/50003.txt,THERE'S A LOT OF PEOPLE WHO MAKE SMALL SMALL CHANGES
15,/home/devanshb_it_17/Downloads/trainval/o8NPllzkFhE/50001.txt,I MADE IT PUBLICLY AVAILABLE AND IT WASN'T EVEN OPEN SOURCE AT THAT POINT
16,/home/devanshb_it_17/Downloads/trainval/o8NPllzkFhE/50004.txt,I MEAN YOU'VE CHANGED THE FUTURE
17,/home/devanshb_it_17/Downloads/trainval/qGSYmIPFO68/50002.txt,I BEGAN THIS TALK WITH MODELS
18,/home/devanshb_it_17/Downloads/trainval/qGSYmIPFO68/50003.txt,CHRIS ANDERSON I REALLY LIKE THIS METAPHOR
19,/home/devanshb_it_17/Downloads/trainval/qGSYmIPFO68/50001.txt,SO THIS IS A VERY COMMON DISEASE
20,/home/devanshb_it_17/Downloads/trainval/bS7A7S8AZSQ/50002.txt,EVEN THOUGH WE ONLY SEE THIS BRIEFLY IN THE FILMS WE SEE THAT IS THE REASON FOR HIS FALL TO THE DARK SIDE
21,/home/devanshb_it_17/Downloads/trainval/bS7A7S8AZSQ/50005.txt,IT'S REALLY UP TO YOU
22,/home/devanshb_it_17/Downloads/trainval/bS7A7S8AZSQ/50003.txt,IT IS ATTACHMENT AND LOVE THAT BROUGHT ABOUT HIS DOWNFALL
23,/home/devanshb_it_17/Downloads/trainval/bS7A7S8AZSQ/50001.txt,THIS TAUGHT ME THE LESSON OF BEING COMMITTED TO THE TASK AT HAND KEEPING THE MIND HERE AND NOW
24,/home/devanshb_it_17/Downloads/trainval/bS7A7S8AZSQ/50004.txt,GEORGE LUCAS HAS SAID ON MULTIPLE OCCASIONS THAT STAR WARS DRAWS A LOT OF ITS TEACHINGS FROM EASTERN
25,/home/devanshb_it_17/Downloads/trainval/IDqMB6C1uys/50010.txt,YOU KNOW THEY DON'T KIND OF HANG OUT WITH THEIR PUPPY BROTHERS AND SISTERS AND THEY DON'T EAT WELL AND THEY DON'T DO THINGS
26,/home/devanshb_it_17/Downloads/trainval/IDqMB6C1uys/50009.txt,HOW MANY GENES
27,/home/devanshb_it_17/Downloads/trainval/IDqMB6C1uys/50002.txt,WE'RE ONLY TEN PERCENT
28,/home/devanshb_it_17/Downloads/trainval/IDqMB6C1uys/50006.txt,SO IF YOU BREED A LITTLE MOUSE THAT HAS NO BIOME THIS LITTLE CREATURE IS VERY VULNERABLE TO
29,/home/devanshb_it_17/Downloads/trainval/IDqMB6C1uys/50012.txt,SO FIRST OF ALL WE HAVE TO RESPECT THEM
30,/home/devanshb_it_17/Downloads/trainval/IDqMB6C1uys/50005.txt,AND MY MOTHER TAUGHT ME ALL ABOUT GERMS AND HOW BAD THEY WERE AND YOU SHOULD ALWAYS WASH YOUR HANDS AND I
